Subject,Session,Run,Scouts,Parcels_found,Parcels_missing,Coverage_fraction,MinDipoles,Parcels_valid_ge_MinDipoles,Scout_grid_size,Kernel_grid_size,Assigned_vertices,Overlap_vertices,Overlap_rate
sub-01,ses-01,sub-01_ses-01_desc-ICRej70_clean,200,200,0,1,40,200,43722,43722,32851,10723,0.326413199
sub-02,ses-01,sub-02_ses-01_desc-ICRej70_clean,200,200,0,1,40,200,39462,39462,29571,9677,0.327246289
sub-03,ses-01,sub-03_ses-01_desc-ICRej70_clean,200,200,0,1,40,200,50095,50095,37527,12248,0.326378341
sub-08,ses-01,sub-08_ses-01_desc-ICRej70_clean,200,200,0,1,40,200,50939,50939,38404,12557,0.326971149
sub-08,ses-02,sub-08_ses-02_desc-ICRej70_clean,200,200,0,1,40,200,50888,50888,38419,12468,0.324526927
sub-09,ses-01,sub-09_ses-01_desc-ICRej70_clean,200,200,0,1,40,200,37043,37043,27805,9225,0.331774861
sub-13,ses-01,sub-13_ses-01_desc-ICRej70_clean,200,200,0,1,40,200,45597,45597,34081,11286,0.331152255
sub-13,ses-02,sub-13_ses-02_desc-ICRej70_clean,200,200,0,1,40,200,45597,45597,34081,11286,0.331152255
sub-14,ses-01,sub-14_ses-01_desc-ICRej70_clean,200,200,0,1,40,200,45111,45111,33684,10769,0.319706686
sub-16,ses-01,sub-16_ses-01_desc-ICRej70_clean,200,200,0,1,40,200,39358,39358,29411,9518,0.323620414
sub-17,ses-01,sub-17_ses-01_desc-ICRej70_clean,200,200,0,1,40,200,47164,47164,35304,11635,0.329566055
sub-17,ses-02,sub-17_ses-02_desc-ICRej70_clean,200,200,0,1,40,200,48647,48647,36318,11970,0.329588634
sub-18,ses-01,sub-18_ses-01_desc-ICRej70_clean,200,200,0,1,40,200,46288,46288,34572,11097,0.320982298
sub-20,ses-01,sub-20_ses-01_desc-ICRej70_clean,200,200,0,1,40,200,40744,40744,30261,9922,0.327880771
sub-21,ses-01,sub-21_ses-01_desc-ICRej70_clean,200,200,0,1,40,200,41335,41335,31100,10354,0.332926045
