Parameter,Final value,Notes
Timeline reconciliation,Raw-to-preprocessed EEG mapping,Run-specific mapping estimated from matched recurring R128 events; anchored to first raw S1 event.
BOLD TR,2.1 s,Common temporal grid used for EEG–BOLD fusion.
EEG sampling rate,250 Hz,Used to assign EEG samples to TR bins and evaluate counts-per-TR.
TR-mask policy,Intermediate-strict,Final retained-mask rule used in the manuscript.
Base EEG coverage threshold,≥ 0.70 of TR,TR retained directly when at least 70% of the bin is usable.
Hybrid rescue threshold,≥ 0.50 of TR,Partially contaminated TR can still be retained if rescue criteria are met.
Hybrid rescue continuity rule,Single contiguous retained block spanning ≥ 50% of the TR,Prevents fragmented EEG support inside a retained TR.
Sample-completeness gate,"max(50, 0.65 × expected EEG samples/TR)",Applied after interval masking to prevent sparse or NaN-prone TR bins.
Feature mode,No lags (nolags),Final model used only same-TR EEG and BOLD features.
Minimum retained segment length,15 TR,Only contiguous retained intervals of at least 15 TR were exported.
BOLD feature block,200 parcel-wise BOLD PC1 features,Feature slice: columns 0–199.
EEG feature block,200 parcel-wise TR-binned EEG power features,Feature slice: columns 200–399; power computed as mean(x²) within TR from gain-normalized parcel PC1.
Total features per observation,400,Final fusion vector X_t = [BOLD | EEG power].
