Run,Segment ID,Start TR,End TR,Length (TR),Start (s),End (s),Duration (s),Feature mode,Lags (TR),Features
sub-01_ses-01,sub-01_ses-01__seg0000,1,21,20,2.1,44.1,42.0,nolags,0,400
sub-01_ses-01,sub-01_ses-01__seg0001,22,42,20,46.2,88.2,42.0,nolags,0,400
sub-01_ses-01,sub-01_ses-01__seg0002,43,83,40,90.3,174.3,84.0,nolags,0,400
sub-01_ses-01,sub-01_ses-01__seg0003,84,159,75,176.4,333.9,157.5,nolags,0,400
sub-01_ses-01,sub-01_ses-01__seg0004,160,259,99,336.0,543.9,207.9,nolags,0,400
sub-01_ses-01,sub-01_ses-01__seg0005,260,283,23,546.0,594.3,48.3,nolags,0,400
sub-02_ses-01,sub-02_ses-01__seg0000,0,194,194,0.0,407.4,407.4,nolags,0,400
sub-02_ses-01,sub-02_ses-01__seg0001,195,277,82,409.5,581.7,172.2,nolags,0,400
sub-03_ses-01,sub-03_ses-01__seg0000,1,17,16,2.1,35.7,33.6,nolags,0,400
sub-03_ses-01,sub-03_ses-01__seg0001,20,80,60,42.0,168.0,126.0,nolags,0,400
sub-03_ses-01,sub-03_ses-01__seg0002,81,112,31,170.1,235.2,65.1,nolags,0,400
sub-03_ses-01,sub-03_ses-01__seg0003,113,130,17,237.3,273.0,35.7,nolags,0,400
sub-03_ses-01,sub-03_ses-01__seg0004,146,185,39,306.6,388.5,81.9,nolags,0,400
sub-03_ses-01,sub-03_ses-01__seg0005,187,216,29,392.7,453.6,60.9,nolags,0,400
sub-03_ses-01,sub-03_ses-01__seg0006,217,264,47,455.7,554.4,98.7,nolags,0,400
sub-03_ses-01,sub-03_ses-01__seg0007,267,283,16,560.7,594.3,33.6,nolags,0,400
sub-08_ses-01,sub-08_ses-01__seg0000,18,135,117,37.8,283.5,245.7,nolags,0,400
sub-08_ses-01,sub-08_ses-01__seg0001,144,159,15,302.4,333.9,31.5,nolags,0,400
sub-08_ses-01,sub-08_ses-01__seg0002,161,179,18,338.1,375.9,37.8,nolags,0,400
sub-08_ses-01,sub-08_ses-01__seg0003,180,237,57,378.0,497.7,119.7,nolags,0,400
sub-08_ses-01,sub-08_ses-01__seg0004,250,269,19,525.0,564.9,39.9,nolags,0,400
sub-08_ses-02,sub-08_ses-02__seg0000,0,78,78,0.0,163.8,163.8,nolags,0,400
sub-08_ses-02,sub-08_ses-02__seg0001,79,104,25,165.9,218.4,52.5,nolags,0,400
sub-08_ses-02,sub-08_ses-02__seg0002,105,145,40,220.5,304.5,84.0,nolags,0,400
sub-08_ses-02,sub-08_ses-02__seg0003,152,174,22,319.2,365.4,46.2,nolags,0,400
sub-08_ses-02,sub-08_ses-02__seg0004,177,216,39,371.7,453.6,81.9,nolags,0,400
sub-09_ses-01,sub-09_ses-01__seg0000,2,200,198,4.2,420.0,415.8,nolags,0,400
sub-09_ses-01,sub-09_ses-01__seg0001,202,238,36,424.2,499.8,75.6,nolags,0,400
sub-13_ses-01,sub-13_ses-01__seg0000,1,58,57,2.1,121.8,119.7,nolags,0,400
sub-13_ses-01,sub-13_ses-01__seg0001,59,257,198,123.9,539.7,415.8,nolags,0,400
sub-13_ses-02,sub-13_ses-02__seg0000,13,44,31,27.3,92.4,65.1,nolags,0,400
sub-13_ses-02,sub-13_ses-02__seg0001,46,95,49,96.6,199.5,102.9,nolags,0,400
sub-13_ses-02,sub-13_ses-02__seg0002,97,117,20,203.7,245.7,42.0,nolags,0,400
sub-13_ses-02,sub-13_ses-02__seg0003,118,195,77,247.8,409.5,161.7,nolags,0,400
sub-13_ses-02,sub-13_ses-02__seg0004,199,220,21,417.9,462.0,44.1,nolags,0,400
sub-13_ses-02,sub-13_ses-02__seg0005,222,247,25,466.2,518.7,52.5,nolags,0,400
sub-13_ses-02,sub-13_ses-02__seg0006,248,265,17,520.8,556.5,35.7,nolags,0,400
sub-14_ses-01,sub-14_ses-01__seg0000,1,99,98,2.1,207.9,205.8,nolags,0,400
sub-14_ses-01,sub-14_ses-01__seg0001,100,147,47,210.0,308.7,98.7,nolags,0,400
sub-14_ses-01,sub-14_ses-01__seg0002,148,250,102,310.8,525.0,214.2,nolags,0,400
sub-14_ses-01,sub-14_ses-01__seg0003,253,276,23,531.3,579.6,48.3,nolags,0,400
sub-16_ses-01,sub-16_ses-01__seg0000,21,44,23,44.1,92.4,48.3,nolags,0,400
sub-16_ses-01,sub-16_ses-01__seg0001,46,88,42,96.6,184.8,88.2,nolags,0,400
sub-16_ses-01,sub-16_ses-01__seg0002,89,105,16,186.9,220.5,33.6,nolags,0,400
sub-16_ses-01,sub-16_ses-01__seg0003,106,215,109,222.6,451.5,228.9,nolags,0,400
sub-16_ses-01,sub-16_ses-01__seg0004,218,251,33,457.8,527.1,69.3,nolags,0,400
sub-17_ses-01,sub-17_ses-01__seg0000,1,43,42,2.1,90.3,88.2,nolags,0,400
sub-17_ses-01,sub-17_ses-01__seg0001,44,130,86,92.4,273.0,180.6,nolags,0,400
sub-17_ses-01,sub-17_ses-01__seg0002,131,199,68,275.1,417.9,142.8,nolags,0,400
sub-17_ses-01,sub-17_ses-01__seg0003,200,218,18,420.0,457.8,37.8,nolags,0,400
sub-17_ses-01,sub-17_ses-01__seg0004,221,241,20,464.1,506.1,42.0,nolags,0,400
sub-17_ses-02,sub-17_ses-02__seg0000,2,27,25,4.2,56.7,52.5,nolags,0,400
sub-17_ses-02,sub-17_ses-02__seg0001,28,158,130,58.8,331.8,273.0,nolags,0,400
sub-17_ses-02,sub-17_ses-02__seg0002,159,204,45,333.9,428.4,94.5,nolags,0,400
sub-17_ses-02,sub-17_ses-02__seg0003,212,228,16,445.2,478.8,33.6,nolags,0,400
sub-17_ses-02,sub-17_ses-02__seg0004,231,280,49,485.1,588.0,102.9,nolags,0,400
sub-18_ses-01,sub-18_ses-01__seg0000,1,44,43,2.1,92.4,90.3,nolags,0,400
sub-18_ses-01,sub-18_ses-01__seg0001,46,70,24,96.6,147.0,50.4,nolags,0,400
sub-18_ses-01,sub-18_ses-01__seg0002,79,130,51,165.9,273.0,107.1,nolags,0,400
sub-18_ses-01,sub-18_ses-01__seg0003,141,170,29,296.1,357.0,60.9,nolags,0,400
sub-18_ses-01,sub-18_ses-01__seg0004,204,220,16,428.4,462.0,33.6,nolags,0,400
sub-18_ses-01,sub-18_ses-01__seg0005,224,258,34,470.4,541.8,71.4,nolags,0,400
sub-20_ses-01,sub-20_ses-01__seg0000,1,66,65,2.1,138.6,136.5,nolags,0,400
sub-20_ses-01,sub-20_ses-01__seg0001,68,255,187,142.8,535.5,392.7,nolags,0,400
sub-20_ses-01,sub-20_ses-01__seg0002,257,288,31,539.7,604.8,65.1,nolags,0,400
sub-21_ses-01,sub-21_ses-01__seg0000,1,18,17,2.1,37.8,35.7,nolags,0,400
sub-21_ses-01,sub-21_ses-01__seg0001,21,38,17,44.1,79.8,35.7,nolags,0,400
sub-21_ses-01,sub-21_ses-01__seg0002,60,77,17,126.0,161.7,35.7,nolags,0,400
sub-21_ses-01,sub-21_ses-01__seg0003,83,100,17,174.3,210.0,35.7,nolags,0,400
sub-21_ses-01,sub-21_ses-01__seg0004,176,191,15,369.6,401.1,31.5,nolags,0,400
sub-21_ses-01,sub-21_ses-01__seg0005,192,220,28,403.2,462.0,58.8,nolags,0,400
