parameter,K=3,K=5,K=12
Mean held-out test free energy,150.465169,150.3536424,149.3262511
Standard error of the mean held-out test free energy,2.263428687,2.29652701,2.398274149
Difference in mean held-out test free energy relative to K = 12,1.138917895,1.027391266,0
Within the 1-SE selection threshold,TRUE,TRUE,TRUE
Median maximum fractional occupancy across LOSO folds (K-sweep),0.822378289,0.792903019,0.804316019
Median number of active states across LOSO folds (K-sweep),3,3.5,4
Mean matched state-signature correlation across folds,0.854582585,0.735607526,
Median matched state-signature correlation across folds,0.847247134,0.719060677,
Median maximum matched-state fractional occupancy across folds,0.930995107,0.929965854,
Median number of active matched states across folds,2,2.5,
Median effective number of matched states across folds,1.300531919,1.337035077,
